"sim_idx","method","pred_crate","pred_ptran","pred_beta","n_reps","lid","coverage","mean_bias","mae","rmse","smape_full","smape_info","pearson_r","ci_width","peak_day_obs","peak_day_pred","peak_day_err","rel_peak_err","o_mae","o_smape_full","o_smape_info","o_peak","o_cov","excess_mae","excess_smape_full","excess_smape_info","excess_peak_err","coverage_gap"
41,"DE",4.39506727352775,0.13398763686701,0.588884677851516,300,168,0.994505494505495,-0.232142857142857,1.65796703296703,3.75512470345014,20.5375202219093,37.5787937770885,0.995695880450767,9.74059065934066,25,27,2,10.256410190664,1.7239010989011,19.1578539173359,34.5716169216113,0,0.994505494505495,-0.0659340659340659,1.37966630457333,3.0071768554772,2,0
41,"BiLSTM",9.87201980431564,0.0590858957951792,0.58329713344574,300,168,0.991758241758242,-0.237637362637363,1.6771978021978,3.86490620843508,19.9082280112599,36.2071628508826,0.995466266761876,9.7440934065934,25,28,3,10.8974358275805,1.7239010989011,19.1578539173359,34.5716169216113,0,0.994505494505495,-0.0467032967032968,0.750374093923948,1.63554592927135,3,0.00274725274725274
47,"Oracle",14.3034074292518,0.0369959528195748,0.529168186411755,1000,136,0.975274725274725,-0.0796703296703297,2.07142857142857,4.89378951572049,18.0066013721071,22.8721441111069,0.993393963187645,9.9220467032967,38,32,6,12.280701682569,2.07142857142857,18.0066013721071,22.8721441111069,6,0.975274725274725,0,0,0,0,0
47,"ABC",3.71100516329295,0.179643488409719,0.666657913040424,300,136,0.854395604395604,0.388736263736264,4.32554945054945,9.76548502646939,24.5591246759357,38.0705546817575,0.981722154741941,9.40913461538461,38,29,9,5.26315786395814,2.07142857142857,18.0066013721071,22.8721441111069,6,0.975274725274725,2.25412087912088,6.55252330382865,15.1984105706506,3,0.120879120879121
47,"ABC-SMC",4.83152790613115,0.108459503348369,0.52402511711277,300,136,0.980769230769231,-0.105769230769231,2.16071428571429,5.03851920946778,18.2831419229673,22.7288915815733,0.993001207921146,9.82802197802197,38,31,7,12.8654970007866,2.07142857142857,18.0066013721071,22.8721441111069,6,0.975274725274725,0.089285714285714,0.276540550860247,-0.143252529533626,1,-0.00549450549450547
47,"NelderMead",10.5,0.5005,5.25525,300,136,0.651098901098901,0.71978021978022,18.8736263736264,50.5834774092607,56.3554371264779,123.802834178034,0.657263012369059,7.80597527472527,38,11,27,118.713449598167,2.07142857142857,18.0066013721071,22.8721441111069,6,0.975274725274725,16.8021978021978,38.3488357543708,100.930690066927,21,0.324175824175824
47,"DE",2.96725680793794,0.179587264016919,0.532881531773151,300,136,0.972527472527473,-0.0260989010989011,2.13049450549451,5.02924141702993,18.8626225380102,22.7110970654249,0.993047139370811,9.93901098901098,38,32,6,11.9883040234602,2.07142857142857,18.0066013721071,22.8721441111069,6,0.975274725274725,0.0590659340659339,0.85602116590308,-0.161047045682057,0,0.00274725274725274
47,"BiLSTM",9.87201980431564,0.0519787142779938,0.513134896755219,300,136,0.986263736263736,-0.141483516483516,2.15796703296703,4.96311947720936,18.5339215437055,25.2816092816062,0.993311400241643,9.91840659340659,38,33,5,14.6198829554393,2.07142857142857,18.0066013721071,22.8721441111069,6,0.975274725274725,0.0865384615384612,0.52732017159838,2.40946517049931,-1,-0.0109890109890111
88,"Oracle",10.6799636012875,0.0422758637594459,0.451504686163872,1000,99,0.991758241758242,-0.357142857142857,1.24725274725275,3.32489775105116,9.79222754427595,32.2895023073066,0.995237022786163,6.49649725274725,24,21,3,7.97101443499265,1.24725274725275,9.79222754427595,32.2895023073066,3,0.991758241758242,0,0,0,0,0
88,"ABC",3.65948306825672,0.123023944203159,0.45020404080162,300,99,0.994505494505495,-0.351648351648352,1.23351648351648,3.26528527269639,10.030668940362,33.1751417784833,0.99541557315256,6.45625,24,20,4,7.97101443499265,1.24725274725275,9.79222754427595,32.2895023073066,3,0.991758241758242,-0.0137362637362637,0.238441396086023,0.885639471176653,1,-0.00274725274725274
88,"ABC-SMC",4.66766548713317,0.0998103628444147,0.465881385907113,300,99,0.986263736263736,-0.173076923076923,1.22252747252747,3.35819483167259,10.8321226164134,36.1519697181027,0.994985265493087,6.37788461538461,24,23,1,2.89855070363369,1.24725274725275,9.79222754427595,32.2895023073066,3,0.991758241758242,-0.0247252747252746,1.03989507213742,3.86246741079614,-2,0.00549450549450547
88,"NelderMead",10.5,0.5005,5.25525,300,99,0.747252747252747,1.93131868131868,17.989010989011,64.1061533793668,43.762785196493,158.465859301256,0.496558655425009,4.17245879120879,24,8,16,316.666664371981,1.24725274725275,9.79222754427595,32.2895023073066,3,0.991758241758242,16.7417582417582,33.9705576522171,126.176356993949,13,0.244505494505495
88,"DE",10.5242139252751,0.043301453224702,0.455713757012057,300,99,0.989010989010989,-0.31456043956044,1.19917582417582,3.27190420746958,9.53949145055555,31.3507682449165,0.995277417019663,6.42081043956044,24,22,2,6.88405792113002,1.24725274725275,9.79222754427595,32.2895023073066,3,0.991758241758242,-0.0480769230769231,-0.252736093720406,-0.938734062390079,-1,0.00274725274725274
88,"BiLSTM",9.87201980431564,0.0445077350438784,0.439381241798401,300,99,0.994505494505495,-0.535714285714286,1.38736263736264,3.63571266650798,9.32641526403972,30.5593424092863,0.995115292465398,6.46929945054945,24,22,2,11.2318839765806,1.24725274725275,9.79222754427595,32.2895023073066,3,0.991758241758242,0.14010989010989,-0.465812280236234,-1.73015989802029,-1,-0.00274725274725274
