"sim_idx","method","converged","calibrated","n","prevalence","incub","true_beta","pred_beta","err_beta_pct","true_R0","pred_R0","err_R0_pct","mae","rmse","smape","pearson_r","peak_day_true","peak_day_pred","peak_day_err","peak_size_true","peak_size_pred","rel_peak_err","dieout_pred","time_sec","cpu_sec","n_evals","n_model_runs","beta_lo_95","beta_hi_95","beta_covered","R0_lo_95","R0_hi_95","R0_covered","cv_beta","accept_rate","epsilon","n_unique_frac"
5975,"ABC",TRUE,"beta",7722,0.06578606,12.86947,0.27637216,0.288950245139265,4.55114042375087,1.90155319704346,1.98809555358637,4.55114043782493,3.10714285714286,6.02079728939615,38.071544286429,0.970216230237921,54,47,7,90,88,2.22222219753086,0,88.352,87.986,1724,1725,0.165201059265607,0.437568765122509,1,1.13665067567399,3.01065159473757,1,0.255924600813244,0.0686666666666667,8.67873015727861,0.0626666666666667
741,"ABC",TRUE,"beta",9422,0.012842284,16.309277,0.22789814,0.220877920226155,3.08041993806562,1.53186579079167,1.48467789134066,3.08041994957138,4.62912087912088,6.15794849526445,40.9402918463139,0.798890184763335,163,122,41,41,43,4.87804866151101,0,127.587,127.12,1670,1671,0.167206777196192,0.258603441987349,1,1.12391589494926,1.73825800492009,1,0.125979801890716,0.021,5.12519632430187,0.018
411,"ABC",TRUE,"beta",6205,0.20950846,15.945563,0.20390648,0.184104264216116,9.71142049373325,1.25979020186214,1.13744667742046,9.71142053365132,2.62637362637363,5.21515121523837,40.9651882339909,0.95908572949135,2,4,2,86,80,6.97674410492158,0,66.017,65.766,1655,1656,0.00550168193114237,0.479289577509297,1,0.0339909010768817,2.96118256565882,1,0.70206061841839,0.075,6.32121623781964,0.0833333333333333
14066,"ABC",TRUE,"beta",8755,0.110908054,16.243963,0.7797801,0.975656651270826,25.1194600913298,4.35299151597161,5.44643948400732,25.1194601177727,4.96153846153846,12.5868412013726,22.4433647940659,0.974037863982496,36,25,11,208,242,16.3461537675666,0,133.685,133.193,2279,2280,0.360669529290396,3.17105891316104,1,2.01337710602075,17.7019040953163,1,0.640042346897351,0.375666666666667,16.3622446336238,0.37
16692,"ABC",TRUE,"beta",5069,0.34286842,14.8333,0.23988314,0.619573010031417,158.281181598926,2.3587252863388,6.09214355579197,158.281182191647,5.0521978021978,12.8923053974663,41.8258400896415,0.946663442028114,2,18,16,128,167,30.4687497619629,0,65.717,65.4750000000001,2173,2174,0.0849344126267775,10.8823549929104,1,0.835143923591767,107.004126662228,1,1.42611794704358,0.404666666666667,8.60948078229224,0.432
9409,"ABC",TRUE,"beta",5116,0.1573495,9.245532,0.16728568,0.172668228589868,3.21757878958449,1.25695577571405,1.29739931838964,3.21757880625872,1.86538461538462,3.99002878063927,28.7716587076902,0.971415003974639,2,3,1,80,85,6.249999921875,0,45.474,45.312,1582,1583,0.0326801968348126,0.29179724606851,1,0.245553368124454,2.19251422945028,1,0.428800871907808,0.052,5.39519016560834,0.0506666666666667
16637,"ABC",TRUE,"beta",9346,0.1408089,7.2564726,0.4384584,0.464366673741206,5.90894681961081,2.11299143157306,2.23784697185241,5.90894683029097,2.42582417582418,6.80517740844716,13.6626416438419,0.992400318552447,24,20,4,213,225,5.63380279045163,0,91.043,90.698,1851,1852,0.233910969648633,0.875792966029782,1,1.127249186282,4.22056695242442,1,0.371067003822529,0.136666666666667,16.653504234746,0.122666666666667
7501,"ABC",TRUE,"beta",7525,0.14445183,18.249641,0.2995384,0.321150500321005,7.21513510416468,1.29895297430337,1.39267418665181,7.21513512269763,2.92307692307692,5.28110877469021,47.5335100877134,0.958842220032115,31,40,9,61,65,6.55737694168235,0,89.9440000000001,89.634,1696,1697,0.125648897415942,0.52298578132733,1,0.544878416311154,2.26793605151629,1,0.282520774274815,0.076,6.43184257434049,0.0693333333333333
3230,"ABC",TRUE,"beta",7193,0.111080214,6.331152,0.6401442,0.733051963223656,14.5135678927529,3.29361087210657,3.77163132289958,14.5135679110187,2.99175824175824,9.78350821367432,14.004815293344,0.987618722254874,21,15,6,256,306,19.5312499237061,0,73.649,73.386,2039,2040,0.271588148909851,1.82348178903749,1,1.39735028449025,9.38201024935039,1,0.458590754203859,0.208333333333333,16.9852861340322,0.203333333333333
3105,"ABC",TRUE,"beta",7360,0.044836957,19.0355,0.33498123,0.337929249078035,0.880055001659213,1.81881102385035,1.83481756128425,0.880055003802531,3.89835164835165,6.17576795954235,45.6604320714901,0.932255150902551,83,69,14,58,56,3.44827580261593,0,100.402,100.038,1763,1764,0.157564782847805,0.525357609153583,1,0.855512304418291,2.85247687159128,1,0.270183449004185,0.0676666666666667,6.85370878983227,0.062
3208,"ABC",TRUE,"beta",5321,0.23867694,7.6235757,0.7543678,1.09638439309647,45.3381749119053,3.7785775262314,5.4917156165271,45.3381749600074,3.06593406593407,10.4432006377566,18.7743466402749,0.980713784938764,11,13,2,205,272,32.6829266698394,0,57.635,57.413,2341,2342,0.274219613431469,7.90147642209685,1,1.37354758323992,39.5779634716414,1,1.07359127085552,0.475,13.4343274430153,0.445333333333333
2075,"ABC",TRUE,"beta",5838,0.15262076,4.507004,0.22299148,0.227706009505718,2.11421955878118,1.33815535737164,1.36644689979094,2.1142195666824,1.66208791208791,4.31741935536842,25.1830283274176,0.985165581188221,2,2,0,148,154,4.0540540266618,0,46.3310000000001,46.156,1678,1679,0.0581615152470768,0.401258557195305,1,0.349022945722986,2.40792288567309,1,0.370357391451342,0.0676666666666667,7.90821488310495,0.0633333333333333
11476,"ABC",TRUE,"beta",5115,0.041446727,7.4616013,0.39212394,0.35025736102311,10.676873967481,2.10041030223439,1.87615214089293,10.6768739896261,2.31868131868132,5.4075649086958,25.5392648713265,0.970397974498306,39,41,2,87,73,16.0919538380235,0,51.047,50.8629999999998,1765,1766,0.245552737007254,0.514044043736289,1,1.31530224487668,2.75347484590185,1,0.216199255166394,0.066,7.21612205983363,0.0646666666666667
3265,"ABC",TRUE,"beta",7944,0.18416415,13.473465,0.3754821,0.527641525456204,40.5237493480958,4.08850026987566,5.74531387574879,40.5237494461087,5.3021978021978,13.0373512445024,25.8182488789046,0.97019445935124,26,22,4,174,219,25.8620688168847,0,105.161,104.768,2014,2015,0.163596241456393,3.72576650255454,1,1.78134530872472,40.5686378956225,1,1.15206815795108,0.254,14.9231465247046,0.259333333333333
17673,"ABC",TRUE,"beta",6195,0.20355125,20.389854,0.23583615,0.276070944099624,17.0604862439532,1.75806494897697,2.05799937902874,17.0604863065894,3.41208791208791,6.38851992351803,52.4565993638629,0.961732742665067,30,33,3,75,80,6.66666657777778,0,77.385,77.106,1736,1737,0.0970082354673177,0.546952703327553,1,0.723157915091454,4.0773154432362,1,0.416878525357165,0.101333333333333,7.11069269125382,0.094
