"sim_idx","method","converged","calibrated","n","prevalence","incub","true_beta","pred_beta","err_beta_pct","true_R0","pred_R0","err_R0_pct","mae","rmse","smape","pearson_r","peak_day_true","peak_day_pred","peak_day_err","peak_size_true","peak_size_pred","rel_peak_err","dieout_pred","time_sec","cpu_sec","n_evals","n_model_runs","opt_status","opt_value"
708,"DE",TRUE,"beta",6999,0.14559223,18.188786,0.36141947,0.358899658920763,0.697198485810823,4.15693464599512,4.12795256050691,0.697198487572158,2.75549450549451,5.70593483205796,28.8293136125225,0.985461310891531,37,41,4,130,133,2.30769228994083,0,98.692,98.3080000000001,610,1831,0,29.4047619047619
16124,"DE",TRUE,"beta",8180,0.07616137,19.41679,0.76859456,0.731391205429714,4.84043947980605,3.20342568081092,3.04836579924896,4.8404394845928,3.22527472527473,6.16307686821416,34.4576355300686,0.985617686255852,39,46,7,131,132,0.763358772798788,0,146.119,145.642,810,2431,0,36.8443223443223
5236,"DE",TRUE,"beta",5943,0.2746088,5.575002,0.1913077,0.198608618091045,3.81632210981679,1.69258781660094,1.75718242001159,3.81632212751067,1.70879120879121,5.15208268993773,16.9713901885607,0.989338601777281,2,3,1,260,221,14.9999999423077,0,33.374,33.2640000000001,340,1021,0,19.2271062271062
2495,"DE",TRUE,"beta",9875,0.12060759,10.816884,0.59480417,0.589967833728206,0.813097235626877,2.7053635092958,2.68336627335108,0.813097236693317,2.57142857142857,6.81143189025658,18.1767158100422,0.992205035175882,23,26,3,224,220,1.78571427774235,0,135.347,134.868,750,2251,0,34.4230769230769
688,"DE",TRUE,"beta",8892,0.028677464,7.3420763,0.56345326,0.566815101654455,0.596649604705125,4.62320395985856,4.65078828805873,0.596649605634974,2.27472527472527,6.87366370629614,10.9889047149014,0.99439617357064,32,32,0,326,305,6.44171777165117,0,42.4129999999998,42.252,270,811,0,47.0805860805861
4450,"DE",TRUE,"beta",9194,0.036219273,6.5407724,0.5018522,0.488830082845525,2.59481120706982,4.77163339373794,4.64781851543023,2.59481121169649,3.25274725274725,9.93384712391522,14.0942949847658,0.989097043517229,30,34,4,338,310,8.28402364413011,0,73.575,73.299,450,1351,0,37.6391941391941
3184,"DE",TRUE,"beta",9175,0.11095368,5.3854775,0.32915953,0.334933673318199,1.75420814966434,3.05783966422056,3.11148053697695,1.75420815442003,2.3543956043956,6.59024420498351,14.9923744594659,0.993956469666653,20,20,0,269,265,1.4869888420558,0,92.884,92.5249999999999,590,1771,0,33.9358974358974
11487,"DE",TRUE,"beta",5780,0.26366782,11.909649,0.7715769,0.756421507976077,1.9642101784386,4.29448647346539,4.21013373293259,1.96421018052693,1.81318681318681,5.5191972660468,13.8185515341256,0.991034972092958,20,19,1,194,183,5.67010306355617,0,19.912,19.8319999999999,220,661,0,21.2985347985348
13649,"DE",TRUE,"beta",6873,0.10082933,6.767672,0.1999055,0.218517451516122,9.3103748636323,1.35696348843653,1.48330187660459,9.31037490334499,2.37362637362637,5.45611865424779,33.7033078729211,0.971665897038684,4,3,1,90,94,4.44444439506173,0,54.061,53.878,350,1051,0,19.8067765567766
10585,"DE",TRUE,"beta",9940,0.13692153,10.137978,0.38841522,0.380221267030305,2.10958596025138,1.56863253638023,1.53554088453962,2.10958596433779,2.82692307692308,6.1886549871075,27.2720744823075,0.985578020463888,2,2,0,133,133,0,0,129.412,128.977,540,1621,0,30.4010989010989
2571,"DE",TRUE,"beta",9949,0.07870138,16.554462,0.27086234,0.282799833678967,4.40721793767807,1.652727217368,1.72556650802164,4.40721795128249,4.00824175824176,6.5919114605171,51.2057926482458,0.962137442613807,64,54,10,87,79,9.1954021931563,0,187.214,186.534,670,2011,0,37.1071428571429
12659,"DE",TRUE,"beta",7868,0.184545,5.169548,0.20859408,0.210919755078382,1.11492860546806,1.51022438618243,1.52706230995145,1.11492861007477,2.23351648351648,6.22450845404723,28.6670696350092,0.987283306270762,2,2,0,221,229,3.61990948588276,0,71.086,70.843,480,1441,0,26.4578754578755
7731,"DE",TRUE,"beta",7434,0.24966371,3.6717777,0.56110847,0.531233018459696,5.32436295019037,4.05763497470904,3.84159176107664,5.32436295836719,1.21153846153846,4.62227050435007,7.69393782663622,0.997897381511645,8,10,2,375,380,1.33333332977778,0,116.103,115.637,1180,3541,0,17.6373626373626
8509,"DE",TRUE,"beta",9218,0.022673031,20.117212,0.68339676,0.694500149495515,1.62473545810597,4.48299729608514,4.55583414284715,1.62473546012099,4.06318681318681,8.34572338992246,28.4886195736411,0.983034345498904,58,52,6,177,182,2.82485874110249,0,92.249,91.9210000000001,410,1231,0,52.4010989010989
10529,"DE",TRUE,"beta",7895,0.10538315,10.375346,0.35119003,0.34928777384674,0.541660065874708,3.77922856781895,3.75875799581066,0.54166006727374,2.55494505494505,6.53561670497021,20.0703313796449,0.989663215612309,38,36,2,178,182,2.24719099861129,0,57.0640000000001,56.8470000000001,370,1111,0,32.2893772893773
7149,"DE",TRUE,"beta",6744,0.21989916,19.197937,0.31630945,0.311967489189899,1.3726939857075,1.44752721869364,1.42765709955833,1.37269398909891,3.16483516483516,5.92443255501327,50.9339054194969,0.960356394620541,2,11,9,87,81,6.89655164486722,0,46.2379999999999,46.076,270,811,0,26.1272893772894
17234,"DE",TRUE,"beta",5925,0.023122363,13.325313,0.9215884,0.848963988299971,7.88035218555548,4.5134665691218,4.15778950731175,7.88035219236036,2.71153846153846,6.26366637709229,22.7895685124768,0.984721638831384,44,43,1,158,178,12.6582277679859,0,36.232,36.095,340,1021,0,25.8086080586081
8180,"DE",TRUE,"beta",9878,0.17847742,7.6014347,0.79496443,0.802263387471791,0.918148936878842,3.62274264552616,3.65600481865376,0.918148937780357,2.60164835164835,8.62098767957759,14.1605954877002,0.993812552430045,14,13,1,382,398,4.18848166442806,0,58.181,57.933,410,1231,0,47.9771062271062
19133,"DE",TRUE,"beta",5839,0.31066963,7.8412967,1.0879437,1.00234914094281,7.86755408193617,4.37652210684448,4.03219686286411,7.86755408737007,1.42582417582418,5.08039757897348,9.85812869983107,0.995184939604206,7,11,4,267,272,1.87265916901626,0,27.974,27.856,370,1111,0,18.2032967032967
11773,"DE",TRUE,"beta",7375,0.23322034,5.5833373,0.29010054,0.280353316096819,3.35994682036157,1.75630797023908,1.69729695623386,3.35994683003051,1.93681318681319,5.65758267798552,17.1676674502034,0.991444119642655,3,2,1,233,256,9.87124459282728,0,39.9880000000001,39.852,330,991,0,27.5934065934066
4336,"DE",TRUE,"beta",8512,0.22662124,20.982561,0.5352702,0.517345260200226,3.34876474839936,2.71023119361672,2.61947192663521,3.34876475341996,3.28296703296703,6.71904787865099,38.2819306794759,0.98362247655266,28,27,1,132,129,2.27272725550964,0,112.822,112.426,590,1771,0,35.9551282051282
1430,"DE",TRUE,"beta",6883,0.2472759,18.453167,0.77443284,0.758936926171086,2.00093707401469,3.33156268400199,3.26490021102767,2.00093707599784,2.61813186813187,5.83872069383862,25.3662192506838,0.987051433643585,23,17,6,143,139,2.79720277764194,0,75.454,75.193,600,1801,0,28.4496336996337
11615,"DE",TRUE,"beta",5203,0.37862772,20.55256,0.32644522,0.351345403199969,7.62767582373915,2.61381612413074,2.8131895453188,7.6276758441868,2.76098901098901,5.75722193385007,33.4051823836537,0.97685891937757,3,7,4,104,101,2.8846153568787,0,100.651,100.297,930,2791,0,22.3571428571429
16171,"DE",TRUE,"beta",7334,0.16130352,15.590614,0.64349514,0.630039879285367,2.09096539466069,3.41696313315849,3.3455156163848,2.09096539729813,2.63461538461538,6.10777742349417,24.0471804249641,0.988083607153737,28,27,1,150,158,5.33333329777778,0,30.7370000000001,30.5989999999999,230,691,0,29.5521978021978
5537,"DE",TRUE,"beta",7907,0.24977867,13.818801,0.3356649,0.320050969955807,4.6516421579011,2.76046751765173,2.63206044646293,4.651642170074,2.4010989010989,5.18821572581388,24.4545302413921,0.992140613463551,21,19,2,157,144,8.28025472432959,0,68.0340000000001,67.781,420,1261,0,28.1346153846154
16826,"DE",TRUE,"beta",8207,0.20921165,4.109808,0.24872711,0.2440782891184,1.8690446983882,2.47761360990993,2.43130590390119,1.86904470514825,2.02747252747253,5.84929788216378,16.5327414264511,0.994219186518528,2,2,0,338,311,7.98816565683975,0,44.5119999999999,44.356,330,991,0,23.6712454212454
7231,"DE",TRUE,"beta",7397,0.14032716,16.75184,0.39721894,0.404779097774334,1.90327222445674,4.59752178539231,4.68502514076732,1.90327222883427,2.3956043956044,5.59876359977396,20.2947032429217,0.989437288387557,33,37,4,143,160,11.8881118049782,0,42.144,41.999,250,751,0,25.0668498168498
19235,"DE",TRUE,"beta",6261,0.28669542,7.0388546,0.23809038,0.23592527631904,0.909362096808026,2.31179432685471,2.29077174540184,0.909362100234082,2.06318681318681,5.51944614198614,14.7961925171583,0.990296906599259,2,2,0,243,230,5.34979421666751,0,44.8500000000001,44.6970000000001,410,1231,0,22.0164835164835
2270,"DE",TRUE,"beta",9275,0.09843666,18.404924,0.4475116,0.424719667944399,5.09303714242728,4.19858304544466,3.98474765100668,5.09303715259503,3.36263736263736,7.17941195669646,25.0481436891051,0.986868815175802,46,52,6,166,159,4.2168674444767,0,139.506,138.979,620,1861,0,41.2884615384615
