"sim_idx","method","converged","true_beta","true_R0","pred_beta","pred_R0","n","prevalence","recov","incub","mae","rmse","smape","pearson_r","peak_day_true","peak_day_pred","peak_day_err","peak_size_true","peak_size_pred","rel_peak_err","total_true","total_pred","dieout_pred","err_beta_pct","err_R0_pct","time_sec","cpu_sec","n_evals","n_model_runs"
3974,"DE",TRUE,0.19155811,1.1229231,0.205468785859822,1.2044682763728,5161,0.36097655,0.17058879,16.97857,1.4739010989011,3.20745611431781,26.0333300725521,0.98809495130993,10,2,8,96,102,6.24999993489583,3594,3644.5,0,7.26181900710543,7.26186002890134,NA,NA,NA,NA
3974,"BiLSTM",TRUE,0.19155811,1.1229231,0.256837844848633,1.450434923172,5161,0.36097655,0.17058879,16.97857,1.7967032967033,3.92897100865013,26.3213218203722,0.988754033113313,10,2,8,96,102,6.24999993489583,3594,4038,0,34.0781155480587,29.1659804230755,NA,NA,NA,NA
4387,"Oracle",TRUE,0.19887717,1.7418182,0.19887717,1.7418182,8521,0.10749912,0.11417792,9.280161,2.03846153846154,4.52632713826976,18.0650796177973,0.987079454852976,49,2,47,98,87,11.2244896813828,6342,6346,0,0,0,NA,NA,NA,NA
4387,"ABC",TRUE,0.19887717,1.7418182,0.196292031379493,1.71917680213034,8521,0.10749912,0.11417792,9.280161,2.03021978021978,4.48639579760271,19.0526036524942,0.987236670718177,49,2,47,98,88,10.2040815285298,6342,6280,0,1.29986042234147,1.2998707253692,NA,NA,NA,NA
4387,"ABC-SMC",TRUE,0.19887717,1.7418182,0.194115511555813,1.7001142738965,8521,0.10749912,0.11417792,9.280161,2.06868131868132,4.48379254698471,19.7390982732877,0.987413818818509,49,2,47,98,88,10.2040815285298,6342,6227,0,2.39425897985033,2.39427410741023,NA,NA,NA,NA
4387,"NelderMead",TRUE,0.19887717,1.7418182,0.198949717230982,1.74245350791976,8521,0.10749912,0.11417792,9.280161,2.03983516483516,4.52427821940621,18.53921555607,0.987089431245416,49,2,47,98,88,10.2040815285298,6342,6341.5,0,0.0364782273398923,0.03647381540863,NA,NA,NA,NA
4387,"DE",TRUE,0.19887717,1.7418182,0.195727864027537,1.71423567733181,8521,0.10749912,0.11417792,9.280161,2.04120879120879,4.49052727024736,19.3370405215752,0.987229771649797,49,2,47,98,88,10.2040815285298,6342,6273,0,1.58353527310865,1.583546826685,NA,NA,NA,NA
4387,"BiLSTM",TRUE,0.19887717,1.7418182,0.196411147713661,1.68939960002899,8521,0.10749912,0.11417792,9.280161,2.01236263736264,4.44849956183524,18.0315950326151,0.987447793728566,49,2,47,98,88,10.2040815285298,6342,6289.5,0,1.23996630014184,3.00941681955327,NA,NA,NA,NA
4618,"Oracle",TRUE,0.39757252,2.5412402,0.39757252,2.5412402,8868,0.0180424,0.15644822,18.22676,2.96978021978022,5.17960391374637,28.3625482489295,0.983644209041502,81,84,3,104,89,14.4230767843935,7926,7896,0,0,0,NA,NA,NA,NA
4618,"ABC",TRUE,0.39757252,2.5412402,0.385355291745305,2.46314909652091,8868,0.0180424,0.15644822,18.22676,2.99038461538462,5.12314024149895,30.64428837692,0.983963006479173,81,89,8,104,85,18.2692305935651,7926,7806.5,0,3.07294818193501,3.0729512601594,NA,NA,NA,NA
