"sim_idx","generation","epsilon","next_epsilon","accept_rate","n_sims","ess"
16060,1,NA,54.8933617442998,1,200,200
16060,2,54.8933617442998,52.3978442090876,0.343642611683849,389,196.633475391652
16060,3,52.3978442090876,48.0992704483229,0.353356890459364,464,197.855666433412
16060,4,48.0992704483229,42.3403633655285,0.35778175313059,476,195.598603357551
16060,5,42.3403633655285,35.1085424313289,0.395256916996047,437,195.680689640636
16060,6,35.1085424313289,19.9200341769175,0.424628450106157,394,195.978434104699
10120,1,NA,41.0986730692462,1,200,200
10120,2,41.0986730692462,37.5585643266857,0.315457413249211,419,195.223594102374
10120,3,37.5585643266857,32.242626576995,0.346620450606586,469,197.836935207197
10120,4,32.242626576995,24.3319615928595,0.345423143350604,487,197.184339307497
10120,5,24.3319615928595,16.0219831266379,0.33955857385399,506,197.310356007996
10120,6,16.0219831266379,9.59846030292861,0.351493848857645,513,198.600915440219
19055,1,NA,44.672495609864,1,200,200
19055,2,44.672495609864,41.4975132986609,0.315955766192733,431,197.260847562805
19055,3,41.4975132986609,36.4137873002686,0.36231884057971,474,197.181861309736
19055,4,36.4137873002686,28.7260172266433,0.386100386100386,446,194.899232503251
19055,5,28.7260172266433,19.606265643767,0.318979266347687,514,198.131216424318
19055,6,19.606265643767,12.089578894972,0.325732899022801,529,199.06019864619
3649,1,NA,129.261719004888,1,200,200
3649,2,129.261719004888,118.739127618528,0.344827586206897,385,196.017637987828
3649,3,118.739127618528,101.085257313436,0.432900432900433,402,196.695245068519
3649,4,101.085257313436,74.918345961341,0.420168067226891,398,194.726531747862
3649,5,74.918345961341,45.8280775201361,0.396039603960396,421,197.513265895955
3649,6,45.8280775201361,23.7839656884773,0.336700336700337,523,199.672307032534
3941,1,NA,66.625381375669,1,200,200
3941,2,66.625381375669,62.5016341869888,0.310077519379845,475,196.494464271009
3941,3,62.5016341869888,57.4041949087537,0.43010752688172,378,196.974653804179
3941,4,57.4041949087537,48.5951060672489,0.389105058365759,436,193.29522585963
3941,5,48.5951060672489,36.9408125813315,0.390625,421,197.435952071633
3941,6,36.9408125813315,24.7038696863632,0.429184549356223,401,194.418806605405
17880,1,NA,57.5674940062832,1,200,200
17880,2,57.5674940062832,55.9348614473583,0.404858299595142,349,195.645215588713
17880,3,55.9348614473583,53.2860825482615,0.390625,423,197.097989168062
17880,4,53.2860825482615,48.3463446937035,0.34965034965035,474,196.068982079408
17880,5,48.3463446937035,38.671446062677,0.322061191626409,512,197.638833132878
17880,6,38.671446062677,26.8730377928849,0.342465753424658,478,197.698664733372
16675,1,NA,54.1077454321257,1,200,200
16675,2,54.1077454321257,48.1140869033818,0.27972027972028,491,197.572804093503
16675,3,48.1140869033818,40.4672239530725,0.389105058365759,433,195.519538407734
16675,4,40.4672239530725,30.4488327030898,0.402414486921529,431,196.000763488976
16675,5,30.4488327030898,20.0278240615309,0.398406374501992,440,197.264945689619
16675,6,20.0278240615309,11.839128372694,0.371747211895911,484,198.60505646558
12630,1,NA,52.0519320164309,1,200,200
12630,2,52.0519320164309,48.298960322222,0.392156862745098,345,194.162681443653
12630,3,48.298960322222,43.0831342202822,0.345423143350604,469,197.600663362955
12630,4,43.0831342202822,35.2827552247586,0.37243947858473,454,196.766371953697
12630,5,35.2827552247586,25.5865662147391,0.397614314115308,434,195.642896612372
12630,6,25.5865662147391,16.347641369741,0.350877192982456,467,198.350502747265
