"sim_idx","method","converged","calibrated","n","prevalence","incub","true_beta","pred_beta","err_beta_pct","true_R0","pred_R0","err_R0_pct","mae","rmse","smape","pearson_r","peak_day_true","peak_day_pred","peak_day_err","peak_size_true","peak_size_pred","rel_peak_err","dieout_pred","time_sec","cpu_sec","n_evals","n_model_runs","opt_status","opt_value"
41,"NelderMead",TRUE,"beta",7728,0.22683747,19.905977,0.61351275,10.0005,1530.03947101337,4.36101292816207,71.0862321737971,1530.03947315643,13.1236263736264,35.3284821121945,47.585614295044,0.785219093083442,25,7,18,156,326,108.974358275805,0,0.845000000000027,0.842000000000098,6,19,0,1265.05402930403
3282,"NelderMead",TRUE,"beta",8416,0.032557033,12.93422,0.73588455,10.0005,1258.97675626024,3.00656702936484,40.8585471418894,1258.97675755233,28.4917582417582,74.5608203687831,64.0683985786529,0.31594391168419,41,11,30,173,471,172.254334264426,0,0.769,0.766,6,19,0,5698.1858974359
12689,"NelderMead",TRUE,"beta",6394,0.072411634,15.727865,0.23230048,10.0005,4204.98462936889,1.500825840149,64.610322003683,4204.9846446686,19.7857142857143,49.950469973259,124.035082238745,0.394950316024613,51,11,40,45,319,608.888875358025,0,0.671999999999997,0.670000000000002,6,19,0,2447.28571428571
13306,"NelderMead",TRUE,"beta",6769,0.19087014,19.344187,0.70687914,10.0005,1314.73972295357,3.11790240002646,44.1102038340878,1314.73972439182,12.6758241758242,34.3572056840713,51.6680037744846,0.735401648812381,31,9,22,121,285,135.537188962503,0,0.64700000000002,0.644999999999982,6,19,0,1171.37454212454
11230,"NelderMead",TRUE,"beta",7227,0.06475716,15.940439,0.47094053,10.0005,2023.51652548674,2.11335943310299,44.8775368956807,2023.51652882601,22.0357142857143,54.3455822279264,91.1738621674091,0.391774020712485,56,11,45,93,360,287.096771106486,0,0.674000000000007,0.670999999999992,6,19,0,2939.7206959707
1866,"NelderMead",TRUE,"beta",9948,0.06473663,15.4617,0.85116833,10.0005,1074.91448363109,3.66072019780323,43.0103318554289,1074.91448460032,28.0934065934066,74.0472821918536,60.4586354790826,0.47342103923289,38,11,27,201,507,152.238805212742,0,0.995000000000005,0.990999999999985,6,19,0,5358.31501831502
14428,"NelderMead",TRUE,"beta",8381,0.06753371,17.651539,1.1953788,10.0005,736.596733406518,4.94425638785761,41.3634874625266,736.596733873741,19.1840659340659,52.2064530136241,49.5726936593675,0.612708253216695,31,11,20,212,373,75.9433958681915,0,0.817000000000007,0.814000000000021,6,19,0,2731.69230769231
2450,"NelderMead",TRUE,"beta",8638,0.045728177,8.988895,0.25229836,10.0005,3863.75940032365,1.89289193077357,75.0296821338875,3863.7594135967,32.771978021978,93.0587224508043,96.7051652513191,0.201779282332748,45,9,36,91,698,667.032959702935,0,0.706000000000017,0.703000000000031,6,19,0,8692.53571428571
3070,"NelderMead",TRUE,"beta",6853,0.22238436,6.9758334,0.9837688,10.0005,916.549822563442,4.61679676594346,46.9320393753264,916.549823296589,12.6730769230769,53.5038511502872,20.351155689383,0.785173796898277,12,5,7,329,708,115.197568038913,0,0.47199999999998,0.470000000000027,6,19,0,2752.20512820513
10505,"NelderMead",TRUE,"beta",9980,0.1501002,8.734663,0.632599,10.0005,1480.85927818277,3.56677135076314,56.385635913599,1480.8592801085,24.4395604395604,84.2429766857696,35.0640334899677,0.652515430924931,21,7,14,317,799,152.050472706465,0,0.817000000000007,0.813999999999965,6,19,0,7017.38278388278
13698,"NelderMead",TRUE,"beta",9963,0.07517816,9.952399,0.29598907,10.0005,3278.67204596889,1.53867383770602,51.986743003649,3278.67205491505,30.5247252747253,94.6684062549758,85.4633527556488,0.437369799510097,34,9,25,105,762,625.714279755102,0,0.827999999999975,0.823999999999955,6,19,0,9075.76923076923
1123,"NelderMead",TRUE,"beta",7678,0.10523574,18.006298,0.26532173,10.0005,3669.19748085015,1.10354326916198,41.5947252539564,3669.19749135446,17.9532967032967,51.9522974351588,103.538806870053,0.719565449009771,2,9,7,50,364,627.99998744,0,0.744999999999891,0.742999999999938,6,19,0,2690.96245421245
2334,"NelderMead",TRUE,"beta",8628,0.19842374,12.636297,0.59499824,10.0005,1580.76127152786,2.74229840498235,46.0914896135256,1580.76127360817,17.3571428571429,53.3438462623941,48.5743301150214,0.752215428598308,26,7,19,201,498,147.76119329472,0,0.65300000000002,0.651000000000067,6,19,0,2969.06135531136
19014,"NelderMead",TRUE,"beta",7086,0.23370026,6.9608006,0.42337167,10.0005,2262.10891895032,2.54508874712358,60.1177684269932,2262.10892340459,15.9532967032967,61.3405419597193,38.3431318066137,0.738803722275473,2,5,3,207,716,245.893718618871,0,0.513000000000147,0.511999999999944,6,19,0,3887.52197802198
13132,"NelderMead",TRUE,"beta",8919,0.17457114,19.479977,0.270263,10.0005,3600.28452433265,1.97975567364091,73.2565930750635,3600.28453583551,22.1538461538462,52.5575038295314,101.053434913305,0.653277219576686,34,9,25,101,378,274.257423027154,0,0.93100000000004,0.926999999999907,6,19,0,2657.8315018315
19001,"NelderMead",TRUE,"beta",9564,0.024257632,10.895932,0.86288196,10.0005,1058.96500946785,4.84969187317068,56.2062319365715,1058.96501047673,33.0549450549451,96.9344686310871,47.8572247642617,0.306795886443761,35,11,24,305,642,110.49180291642,0,0.811999999999898,0.808999999999969,6,19,0,9650.36813186813
