"sim_idx","method","pred_beta","pred_R0","true_beta","true_R0","smape","mae","pearson_r","err_beta_pct","err_R0_pct","time_sec","n_model_runs"
17352,"NelderMead",10.0005,101.173963979823,0.38032648,3.8477213,58.0635880542864,12.092032967033,0.696650281771693,2529.45141237602,2529.45146208544,15.453,500
17352,"DE",0.370224438765518,3.74552012720491,0.38032648,3.8477213,21.3696098640434,1.73901098901099,0.99148799111563,2.65614985169636,2.65614801142417,40.092,500
17375,"BiLSTM",0.220819562673569,2.60490798950195,0.26734647,2.928995,15.3514846011454,1.73626373626374,0.991800511225077,17.4032248588999,11.0647853785359,NA,500
17375,"ABC",0.445521927637297,4.88104987735305,0.26734647,2.928995,25.1239947065124,3.77197802197802,0.975310601907919,66.6458987235914,66.6458931255618,29.629,500
17375,"ABC-SMC",1.57979030228437,17.3078692267786,0.26734647,2.928995,38.0569457099605,9.23901098901099,0.847568858455202,490.914965993142,490.914946142912,25.069,500
17375,"NelderMead",10.0005,109.563494567675,0.26734647,2.928995,40.3777980223931,11.5494505494505,0.754702898088614,3640.6515971578,3640.65147150047,11.136,500
17375,"DE",0.26348830960598,2.88672566153299,0.26734647,2.928995,9.3494921855459,1.14835164835165,0.994856535243713,1.44313122743696,1.44313453819508,26.534,500
17400,"BiLSTM",0.106978885829449,1.21880507469177,0.097445264,1.1077284,65.8231542601248,3.19505494505495,-0.095536597762679,9.7835661150743,10.0274286270689,NA,500
17400,"ABC",0.0836954565554149,0.951424586771312,0.097445264,1.1077284,68.5837615018271,2.11950549450549,0.247574180033408,14.1102880531835,14.1103011558328,71.58,500
17400,"ABC-SMC",1.33077730947267,15.1278731708855,0.097445264,1.1077284,169.382107295692,25.4862637362637,0.10476045431955,1265.66648274735,1265.66627441216,64.837,500
17400,"NelderMead",10.0005,113.682653415085,0.097445264,1.1077284,172.90693828279,25.9134615384615,0.12618084004264,10162.6844953696,10162.6829297763,28.264,500
17400,"DE",0.118638772556086,1.34864961372777,0.097445264,1.1077284,91.0116719932498,6.30631868131868,-0.108524254904124,21.7491417090174,21.7491231359396,142.414,500
17436,"BiLSTM",0.251963555812836,2.33123826980591,0.29372135,2.65825,16.8900893422043,2.41346153846154,0.991569164283628,14.2168058900602,12.3017673354309,NA,500
17436,"ABC",0.309156101059757,2.79793836384932,0.29372135,2.65825,12.446792157357,1.9010989010989,0.992976093767553,5.25489585954761,5.25489942064578,41.175,500
17436,"ABC-SMC",1.36400301699924,12.344561069913,0.29372135,2.65825,48.5955700569082,16.478021978022,0.719442726676885,364.386745123989,364.386760835626,34.329,500
17436,"NelderMead",10.0005,90.5069720822577,0.29372135,2.65825,52.0856209771444,20.8104395604396,0.551131209127525,3304.7576044438,3304.75771963727,14.513,500
17436,"DE",0.28341072764785,2.5649364346819,0.29372135,2.65825,10.4357275926964,1.66483516483516,0.994025372585193,3.51034146892949,3.51033820438636,41.149,500
17445,"BiLSTM",0.380094170570374,1.59278798103333,0.3655066,1.566435,51.8639797762043,2.68543956043956,0.978330021887999,3.99105531073133,1.68235394595532,NA,500
17445,"ABC",0.314585612594321,1.34820529466199,0.3655066,1.566435,44.6146218070279,3.33241758241758,0.972035113436354,13.931619129635,13.9316157605013,64.178,500
