"sim_idx","method","converged","calibrated","n","prevalence","incub","true_beta","pred_beta","err_beta_pct","true_R0","pred_R0","err_R0_pct","mae","rmse","smape","pearson_r","peak_day_true","peak_day_pred","peak_day_err","peak_size_true","peak_size_pred","rel_peak_err","dieout_pred","time_sec","cpu_sec","n_evals","n_model_runs"
8773,"ABC-SMC",TRUE,"beta",7044,0.14125496,9.993569,0.4875108,0.618070932600781,26.780972305223,3.96299485348844,5.02432340983563,26.7809723533994,2.9217032967033,8.34156644577209,17.9748816360382,0.988192000361695,25,21,4,199,216,8.54271352491099,0,NA,NA,NA,500
8773,"NelderMead",TRUE,"beta",7044,0.14125496,9.993569,0.4875108,10.0005,1951.33916632957,3.96299485348844,81.2944657478586,1951.33916983984,17.9093406593407,58.1971002072051,41.3028587580764,0.608552755898888,25,7,18,199,521,161.80904441302,0,NA,NA,NA,500
8773,"DE",TRUE,"beta",7044,0.14125496,9.993569,0.4875108,0.506656879512966,3.92731391257237,3.96299485348844,4.11863410204327,3.92731391963723,1.45054945054945,3.89702619786077,11.5641749425745,0.996401332564057,25,24,1,199,187,6.03015072346658,0,NA,NA,NA,500
8773,"BiLSTM",TRUE,"beta",7044,0.14125496,9.993569,0.4875108,0.501193046569824,2.80655249930026,3.96299485348844,4.07421838482431,2.80655250434896,1.46840659340659,3.92048368287541,11.5478489789282,0.996337845325896,25,23,2,199,186,6.53266328375546,0,NA,NA,NA,500
8785,"ABC",TRUE,"beta",6443,0.29225516,9.844032,0.82530296,1.9491594396112,136.175020897714,3.98234764269557,9.40531038392676,136.175021028519,5.8282967032967,18.3986867961867,20.3040017929339,0.958379620088575,10,10,0,242,330,36.3636362133734,0,NA,NA,NA,500
8785,"ABC-SMC",TRUE,"beta",6443,0.29225516,9.844032,0.82530296,0.921467296463685,11.6520042951457,3.98234764269557,4.44637096163234,11.6520043063383,1.53296703296703,4.95460159075146,11.8260926005506,0.995691612422931,10,13,3,242,237,2.06611569394167,0,NA,NA,NA,500
8785,"NelderMead",TRUE,"beta",6443,0.29225516,9.844032,0.82530296,10.0005,1111.73683769202,3.98234764269557,48.2555734451468,1111.73683875992,9.58104395604396,36.0336286003768,25.1302579169974,0.853923889816602,10,6,4,242,479,97.9338838928352,0,NA,NA,NA,500
8785,"DE",TRUE,"beta",6443,0.29225516,9.844032,0.82530296,0.76874675923104,6.85278054745281,3.98234764269557,3.70944609777432,6.85278055403537,1.42994505494505,4.44865395125559,10.9864213661836,0.996112486026585,10,13,3,242,214.5,11.3636363166792,0,NA,NA,NA,500
8785,"BiLSTM",TRUE,"beta",6443,0.29225516,9.844032,0.82530296,0.828209280967712,0.352152010237653,3.98234764269557,3.99637155999097,0.352152010575923,1.38736263736264,4.23178059839674,10.7714707140335,0.996345690848301,10,13,3,242,224,7.43801649819001,0,NA,NA,NA,500
8814,"ABC",TRUE,"beta",5592,0.08959228,17.500742,0.32415327,0.349102778788262,7.69682462598442,2.10754522838109,2.26975928902331,7.69682464607677,1.93406593406593,3.67703744821893,29.3173849164324,0.980793157647942,43,49,6,67,56,16.4179102027178,0,NA,NA,NA,500
8814,"ABC-SMC",TRUE,"beta",5592,0.08959228,17.500742,0.32415327,0.372119158053498,14.7972864520309,2.10754522838109,2.41940473389282,14.7972864906588,2.37362637362637,4.39530218741343,35.1882858837083,0.978682210963432,43,48,5,67,61,8.95522374693696,0,NA,NA,NA,500
8814,"NelderMead",TRUE,"beta",5592,0.08959228,17.500742,0.32415327,10.0005,2985.1146342435,2.10754522838109,65.0201864581686,2985.11464203607,16.6936813186813,39.9834873196643,99.358272401795,0.406073795131583,43,10,33,67,250,273.134324281577,0,NA,NA,NA,500
8814,"DE",TRUE,"beta",5592,0.08959228,17.500742,0.32415327,0.339798368575867,4.8264509340296,2.10754522838109,2.20926486505518,4.82645094662892,1.87087912087912,3.53631086098133,28.8478965256827,0.981054310978589,43,48,5,67,54,19.4029847850301,0,NA,NA,NA,500
8814,"BiLSTM",TRUE,"beta",5592,0.08959228,17.500742,0.32415327,0.328956007957458,1.48162563426932,2.10754522838109,2.13877115883493,1.48162563813706,1.86263736263736,3.57801590301075,28.5351032180465,0.980232873175547,43,49,6,67,52,22.3880593673424,0,NA,NA,NA,500
8824,"ABC",TRUE,"beta",7125,0.2220351,4.4453087,0.7012054,0.862199505869633,22.9596214803875,4.62364529291214,5.68521675227444,22.9596215081649,2.97527472527473,11.5016721192382,10.5094282827129,0.990292552815297,11,10,1,434,441,1.61290322209008,0,NA,NA,NA,500
8824,"ABC-SMC",TRUE,"beta",7125,0.2220351,4.4453087,0.7012054,0.804603485061017,14.7457627841371,4.62364529291214,5.30543706075719,14.745762801977,2.28159340659341,8.77531659364386,8.37989354177053,0.994016610476788,11,10,1,434,421,2.9953916981673,0,NA,NA,NA,500
8824,"NelderMead",TRUE,"beta",7125,0.2220351,4.4453087,0.7012054,10.0005,1326.18696130094,4.62364529291214,65.9418263917646,1326.18696290541,16.4065934065934,77.4012752968736,22.8447903694313,0.70047951673675,11,5,6,434,1019,134.792626417529,0,NA,NA,NA,500
8824,"DE",TRUE,"beta",7125,0.2220351,4.4453087,0.7012054,0.696016715923384,0.739966359245997,4.62364529291214,4.58943187312493,0.739966360141224,0.961538461538462,4.40591510495696,5.71032067788585,0.998005656100665,11,11,0,434,378,12.9032257767207,0,NA,NA,NA,500
8824,"BiLSTM",TRUE,"beta",7125,0.2220351,4.4453087,0.7012054,0.738213360309601,5.27776315710393,4.62364529291214,4.86767034104463,5.27776316348917,1.43818681318681,5.64476077224041,6.14409121952323,0.997158778099827,11,10,1,434,397,8.52534560247616,0,NA,NA,NA,500
8843,"ABC",TRUE,"beta",7737,0.017707122,8.818478,0.51551527,0.553669368668658,7.40115779589739,2.81222273082578,3.02035977311003,7.40115780762241,2.44093406593407,6.19104058430273,17.9562830163458,0.99164639464417,41,45,4,159,172,8.1761005775088,0,NA,NA,NA,500
8843,"ABC-SMC",TRUE,"beta",7737,0.017707122,8.818478,0.51551527,0.633409678847301,22.8692369517219,2.81222273082578,3.45535661199606,22.8692369879517,6.42445054945055,14.7769357334438,28.889937607516,0.957885220792116,41,40,1,159,197.5,24.2138363256991,0,NA,NA,NA,500
8843,"NelderMead",TRUE,"beta",7737,0.017707122,8.818478,0.51551527,10.0005,1839.90373584879,2.81222273082578,54.5544139160479,1839.90373876359,31.2541208791209,89.0536285826482,63.8960382765536,0.137257079050349,41,10,31,159,627,294.339620790317,0,NA,NA,NA,500
8843,"DE",TRUE,"beta",7737,0.017707122,8.818478,0.51551527,0.518256064516459,0.531661169055656,2.81222273082578,2.82717422710194,0.531661169897917,2.13873626373626,5.09504445731124,14.1859351381179,0.99228537122608,41,47,6,159,157,1.25786162730905,0,NA,NA,NA,500
8843,"BiLSTM",TRUE,"beta",7737,0.017707122,8.818478,0.51551527,0.489693284034729,5.00896625529275,2.81222273082578,2.67135944294179,5.00896626322804,3.33241758241758,7.45471677515667,15.7761507527857,0.98304128234274,41,51,10,159,145,8.80503139116333,0,NA,NA,NA,500
8846,"ABC",TRUE,"beta",6053,0.13547002,9.695148,0.16884111,0.149648917865736,11.3670136500488,1.13731675841797,1.00803780647862,11.3670137073779,1.7239010989011,3.63259435641275,30.5093341259956,0.980037476193927,2,2,0,78,76,2.56410253122945,0,NA,NA,NA,500
8846,"ABC-SMC",TRUE,"beta",6053,0.13547002,9.695148,0.16884111,0.454679231075361,169.294148434833,1.13731675841797,3.062727490992,169.294149288662,9.12225274725275,23.7463270728454,61.8274591407094,0.900209328792771,2,25,23,78,136,74.3589734056542,0,NA,NA,NA,500
8846,"NelderMead",TRUE,"beta",6053,0.13547002,9.695148,0.16884111,10.0005,5823.02428109467,1.13731675841797,67.363548146295,5823.02431046289,14.9313186813187,54.4482060572903,83.3431330795002,0.7153458427888,2,7,5,78,457,485.897429667982,0,NA,NA,NA,500
8846,"DE",TRUE,"beta",6053,0.13547002,9.695148,0.16884111,0.17059958984461,1.04149980664958,1.13731675841797,1.14916191032804,1.04149981190234,1.35027472527473,2.78770357261873,28.1140636717676,0.983810913895682,2,2,0,78,76,2.56410253122945,0,NA,NA,NA,500
8846,"BiLSTM",TRUE,"beta",6053,0.13547002,9.695148,0.16884111,0.152378410100937,9.75040960199741,1.13731675841797,1.02642371534327,9.75040965117327,1.63873626373626,3.40258870422358,30.8792955710627,0.981731185702241,2,2,0,78,76,2.56410253122945,0,NA,NA,NA,500
8858,"ABC",TRUE,"beta",5721,0.27774864,17.614557,0.8509524,2.65866151222384,212.43363437244,4.71216998429004,14.7224039514882,212.433634577,5.46428571428571,14.8909958781056,28.2380922600077,0.938128572694692,22,12,10,156,204,30.7692305719921,0,NA,NA,NA,500
8858,"ABC-SMC",TRUE,"beta",5721,0.27774864,17.614557,0.8509524,0.981420192085468,15.331972967248,4.71216998429004,5.43463861330118,15.3319729820118,1.78021978021978,4.61810817076896,17.9847777782269,0.99185173538771,22,19,3,156,144,7.69230764299803,0,NA,NA,NA,500
8858,"NelderMead",TRUE,"beta",5721,0.27774864,17.614557,0.8509524,10.0005,1075.21261932487,4.71216998429004,55.3780163589556,1075.21262036024,7.66071428571429,22.918827736932,33.814906024351,0.863069705568379,22,8,14,156,253,62.1794867809007,0,NA,NA,NA,500
8858,"DE",TRUE,"beta",5721,0.27774864,17.614557,0.8509524,0.920526853482843,8.17606876731087,4.71216998429004,5.09744024309093,8.17606877518391,1.68406593406593,4.27312712010951,19.030776997409,0.992630900384378,22,19,3,156,139,10.8974358275805,0,NA,NA,NA,500
8858,"BiLSTM",TRUE,"beta",5721,0.27774864,17.614557,0.8509524,0.837090194225311,1.62902246452311,4.71216998429004,4.63540767658924,1.62902246609176,1.65384615384615,4.14072510505158,18.2282276370077,0.992889588625093,22,19,3,156,132,15.3846152859961,0,NA,NA,NA,500
8862,"ABC",TRUE,"beta",9557,0.13550277,16.00529,0.8812183,1.37516788775122,56.0530333052196,3.63998149976102,5.68030154444124,56.0530333534288,7.55357142857143,17.9991033048933,29.2851277364146,0.964354899120844,28,21,7,213,262,23.0046947276775,0,NA,NA,NA,500
8862,"ABC-SMC",TRUE,"beta",9557,0.13550277,16.00529,0.8812183,0.973309301289218,10.4504186062311,3.63998149976102,4.02037480410709,10.4504186152192,2.79945054945055,6.64049349417299,15.467415505069,0.993741705242627,28,26,2,213,211,0.938967131741938,0,NA,NA,NA,500
8862,"NelderMead",TRUE,"beta",9557,0.13550277,16.00529,0.8812183,10.0005,1034.84933184564,3.63998149976102,41.3083057720886,1034.84933273568,19.4821428571429,54.9884540828125,49.0691037368727,0.710882855042541,28,9,19,213,457,114.553990072516,0,NA,NA,NA,500
8862,"DE",TRUE,"beta",9557,0.13550277,16.00529,0.8812183,0.879635811959073,0.179579570593482,3.63998149976102,3.63344483660665,0.17957957074794,2.17994505494505,5.2831241797729,14.8010653902776,0.994962619030934,28,26,2,213,196,7.98122061980648,0,NA,NA,NA,500
8862,"BiLSTM",TRUE,"beta",9557,0.13550277,16.00529,0.8812183,0.854995429515839,2.97575191690911,3.63998149976102,3.53166468038383,2.97575191946845,2.27197802197802,5.41949066987656,15.1765085035762,0.994610231605132,28,29,1,213,192,9.85915488329035,0,NA,NA,NA,500
8875,"ABC",TRUE,"beta",6309,0.117292754,13.990487,0.96260864,1.14937883145651,19.4025051824265,4.20800231932025,5.02446018825116,19.4025051979718,3.51236263736264,9.02838168356743,19.2104962799009,0.978046131761479,20,23,3,165,177,7.27272722865014,0,NA,NA,NA,500
8875,"ABC-SMC",TRUE,"beta",6309,0.117292754,13.990487,0.96260864,0.939734385441174,2.3762777087751,4.20800231932025,4.10800849811762,2.37627771067898,1.71428571428571,4.57041970323692,14.2425680126002,0.992985596602787,20,26,6,165,155,6.06060602387512,0,NA,NA,NA,500
8875,"NelderMead",TRUE,"beta",6309,0.117292754,13.990487,0.96260864,10.0005,938.895723043899,4.20800231932025,43.7167561620496,938.895723796144,13.9175824175824,41.5117817249275,42.8788201699737,0.660814778009544,20,9,11,165,339,105.454544815427,0,NA,NA,NA,500
8875,"DE",TRUE,"beta",6309,0.117292754,13.990487,0.96260864,0.87792498288928,8.79730905207198,4.20800231932025,3.83781134998672,8.79730905912038,1.5521978021978,4.23194289414929,12.185163243206,0.993893771903786,20,27,7,165,147.5,10.6060605417815,0,NA,NA,NA,500
8875,"BiLSTM",TRUE,"beta",6309,0.117292754,13.990487,0.96260864,0.902400016784668,6.25473537748266,4.20800231932025,3.94480290929501,6.25473538249395,1.55082417582418,4.18961628498179,13.3542513797179,0.993950317790877,20,27,7,165,151,8.48484843342516,0,NA,NA,NA,500
8877,"ABC",TRUE,"beta",8050,0.051552795,7.352058,0.62802464,0.702548367085126,11.8663699192539,4.11317493864864,4.6012594930719,11.8663699352636,3.03708791208791,8.87887819614494,13.5260458075568,0.990519325456381,26,24,2,273,290,6.22710620429631,0,NA,NA,NA,500
8877,"ABC-SMC",TRUE,"beta",8050,0.051552795,7.352058,0.62802464,0.807030620742803,28.5030186805684,4.11317493864864,5.28555396164289,28.503018719024,6.15796703296703,17.9792500974299,17.5841322745232,0.964037679213593,26,23,3,273,325,19.0476189778475,0,NA,NA,NA,500
8877,"NelderMead",TRUE,"beta",8050,0.051552795,7.352058,0.62802464,10.0005,1492.37382550409,4.11317493864864,65.497121217976,1492.37382751756,27.2239010989011,92.4476574507536,39.0890160546678,0.376077152625469,26,8,18,273,768,181.31868065451,0,NA,NA,NA,500
8877,"DE",TRUE,"beta",8050,0.051552795,7.352058,0.62802464,0.625234549008044,0.444264573363458,4.11317493864864,4.09490155952666,0.444264573962838,1.42857142857143,4.2290206176626,10.3688084865948,0.997367181535687,26,26,0,273,264,3.29670328462746,0,NA,NA,NA,500
